Buffer, Bandwidth, PreviousQuality, PreviousBandwidth, Quality
1141,2202,3,1569,1
2678,2202,1,2202,1
4215,1915,1,2202,2
4549,2578,2,1915,2
5285,1731,2,2578,3
1285,1664,3,1731,1
2705,1675,1,1664,1
4127,1633,1,1675,2
4191,1990,2,1633,2
4584,3236,2,1990,2
5557,2402,2,3236,3
3627,2091,3,2402,2
4093,773,2,2091,2
2116,1629,2,773,1
3525,2351,1,1629,2
4149,3674,2,2351,2
5232,3626,2,3674,3
4595,2656,3,3626,2
5366,3773,2,2656,3
4828,1735,3,3773,2
5000,3702,2,1735,2
6090,3755,2,3702,3
5540,4773,3,3755,3
5513,5175,3,4773,3
5636,10762,3,5175,3
6681,6088,3,10762,3
7070,7687,3,6088,3
7773,5099,3,7687,3
7869,3662,3,5099,4
3869,5385,4,3662,2
5212,3229,2,5385,3
4263,2883,3,3229,2
5122,3709,2,2883,3
4542,2803,3,3709,2
5372,6022,2,2803,3
5744,2431,3,6022,3
3860,3082,3,2431,2
4787,1735,2,3082,2
4958,4664,2,1735,2
6215,2222,2,4664,3
2215,2111,3,2222,1
3736,3492,1,2111,2
4777,4529,2,3492,2
6015,3360,2,4529,3
5178,5660,3,3360,3
5452,5273,3,5660,3
5608,2296,3,5273,3
1608,1452,3,2296,1
2957,2393,1,1452,1
4523,4310,1,2393,2
5727,5838,2,4310,3
6051,6743,3,5838,3
6587,1769,3,6743,3
2587,1239,3,1769,1
3842,8131,1,1239,2
5373,8160,2,8131,3
6145,2393,3,8160,3
4202,3110,3,2393,2
5137,32,2,3110,3
1137,1573,3,32,1
2529,1573,1,1573,1
3920,66,1,1573,2
0,2862,2,66,1
2000,2862,1,2862,1
3620,2860,1,2862,1
5240,6066,1,2860,2
6646,7310,2,6066,2
8135,16746,2,7310,3
9486,11876,3,16746,3
10611,12452,3,11876,3
11773,20614,3,12452,4
12838,11950,4,20614,4
13299,2463,4,11950,4
9299,12145,4,2463,3
10441,11088,3,12145,3
11512,13087,3,11088,4
12098,8439,4,13087,4
11959,7756,4,8439,4
11642,13500,4,7756,4
12268,8683,4,13500,4
12187,2544,4,8683,4
8187,4652,4,2544,3
8110,8736,3,4652,3
8957,8591,3,8736,3
9786,11811,3,8591,3
10907,6820,3,11811,4
10285,5553,4,6820,3
10529,6339,3,5553,3
10977,7622,3,6339,4
10621,8069,4,7622,4
10389,2469,4,8069,3
8564,2871,3,2469,3
7260,2388,3,2871,3
5308,4835,3,2388,2
6588,7403,2,4835,3
7245,2553,3,7403,3
5543,9,3,2553,2
1543,9,2,9,1
0,15601,1,9,1
2000,3083,1,15601,1
3640,3083,1,3083,1
